ID,Clip Seconds,Year Estimate,Short Description,Keywords,TODO,Media Commons URL,Archives Reel
2.04.02,0:52-8:29,1952,Cheerleaders and pep band lead crowd in cheers,closeup; pep band; cheerleaders,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1673~1464455:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=1&trs=19",130815-2-04
2.05.01,0:00-3:36,1952,Minnesota game homecoming floats,campus; homecoming,confirm Tassels,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1674~1464457:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=14&trs=19",130815-2-05
2.05.02,3:36-5:23,1952,Cheerleaders and stands,closeup; cheerleaders,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1674~1464457:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=14&trs=19",130815-2-05
2.06.01,0:00-6:37,1977,Liberty Bowl performance,drill; halftime; bowl,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1683~1464459:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=5&trs=19",130815-2-06
2.07.01,0:00-7:24,1930,Football summary from NE vs Pittsburgh,football,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1667~1464461:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=6&trs=19",130815-2-07
2.08.01,0:00-1:31,1941,Rose Bowl parade and field,bowl; drill,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1668~1464463:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=18&trs=19",130815-2-08
2.08.02,1:31-3:06,1941,Rose Bowl football game clips,bowl; football,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1668~1464463:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=18&trs=19",130815-2-08
2.08.03,3:06-5:13,1941,"Halftime show: circus, clown, giraffe, elephant",halftime; drill; card section,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1668~1464463:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=18&trs=19",130815-2-08
2.08.04,5:13-8:42,1938,"Halftime show: peace, circles, hearts (freshman band in gray)",halftime; drill; card section,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1668~1464463:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=18&trs=19",130815-2-08
2.08.05,8:42-10:41,1940,"Missouri game halftime show: M, bells",halftime; drill,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1668~1464463:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=18&trs=19",130815-2-08
2.08.06,10:41-12:23,1941,"Army game halftime show: United States, shield",halftime; drill; card section,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1668~1464463:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=18&trs=19",130815-2-08
2.09.01,0:00-3:53,1955,"Orange Bowl, Nebraska, Duke, Miami U, and high school band entries",bowl; drill; guest band,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1678~1464465:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=7&trs=19",130815-2-09
2.09.02,3:53-5:35,1955,"Orange Bowl, football team takes the field with band support, football highlights, view of high school bands in audience",bowl; football; guest band,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1678~1464465:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=7&trs=19",130815-2-09
2.09.03,5:35-11:12,1955,"orange bowl, halftime show with NE band, then Duke band, then all bands and carnival props",bowl; drill; guest band,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1678~1464465:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=7&trs=19",130815-2-09
2.10.01,0:00-2:50,1959,"Texas game drill, longhorn, Texas, NU",halftime; drill; card section,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1680~1464467:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=10&trs=19",130815-2-10
2.10.02,2:50-5:32,1959,Oregon game halftime show,halftime; drill; card section,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1680~1464467:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=10&trs=19",130815-2-10
2.10.03,5:32-9:52,1959,Hawaii game halftime show,halftime; drill; card section,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1680~1464467:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=10&trs=19",130815-2-10
2.10.04,9:52-13:49,1959,"Band Day, N, Peace",band day; card section,halftime?,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1680~1464467:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=10&trs=19",130815-2-10
